U.S. All Grades All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0_PTE_NUS_DPG&f=A
20:39:03 GMT+0000 (Greenwich Mean Time)
Data source: U.S. Energy Information Administration
Year,U.S. All Grades All Formulations Retail Gasoline Prices Dollars per Gallon
2022,4.059
2021,3.1
2020,2.258
2019,2.691
2018,2.813
2017,2.528
2016,2.25
2015,2.52
2014,3.437
2013,3.575
2012,3.68
2011,3.576
2010,2.835
2009,2.406
2008,3.299
2007,2.843
2006,2.618
2005,2.314
2004,1.895
2003,1.603
2002,1.386
2001,1.46
2000,1.523
1999,1.176
1998,1.072
1997,1.244
1996,1.245
1995,1.158
1994,1.078
