Vehicle,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Honda Insight,17,3788,4726,2216,1168,583,666,722,3,0,20572,20962,15549,5846,4802,3965,1458,75,3,12510,23686,HEV
Toyota Prius,0,5562,15556,20119,24627,53991,107897,106971,181221,158886,139682,140928,136463,223906,222140,194108,180603,134155,87725,59995,47862,HEV
Honda Civic,0,0,0,13707,21771,26013,25864,31253,32575,31297,15119,7336,4703,7156,7719,5070,4887,896,65,6,0,HEV
Ford Escape/Mercury Mariner,0,0,0,0,0,2993,15960,22549,25108,19522,16480,12088,10089,1441,0,0,0,0,0,0,0,HEV
Honda Accord,0,0,0,0,0,653,16826,5598,3405,198,1,0,0,0,996,13977,11065,9179,22008,17188,23817,HEV
Toyota Highlander,0,0,0,0,0,0,17989,31485,22052,19391,11086,7456,4549,5921,5070,3621,4015,5976,16864,14513,18248,HEV
Lexus RX 450h,0,0,0,0,0,0,20674,20161,17291,15200,14464,15119,10723,12223,11307,9351,7722,8561,8568,15656,16116,HEV
Toyota Camry,0,0,0,0,0,0,0,31341,54477,46272,22887,14587,9241,45656,44448,39515,30640,22227,20985,22914,26043,HEV
Lexus GS 450h,0,0,0,0,0,0,0,1784,1645,678,469,305,282,607,522,183,91,70,50,40,7,HEV
Nissan Altima,0,0,0,0,0,0,0,0,8388,8819,9357,6710,3236,103,0,0,0,0,0,0,0,HEV
Lexus LS 600hL,0,0,0,0,0,0,0,0,937,980,258,129,85,54,115,65,47,40,0,211,187,HEV
Saturn Vue,0,0,0,0,0,0,0,0,3969,3399,2656,50,0,0,0,0,0,0,0,0,0,HEV
"Tahoe, Yukon, Escalade",0,0,0,0,0,0,0,0,0,7612,7192,3857,1877,1801,1036,137,25,0,0,0,0,HEV
Chevrolet Malibu,0,0,0,0,0,0,0,0,0,3118,4162,405,24,16664,13779,1018,59,4335,4452,2447,1237,HEV
Saturn Aura,0,0,0,0,0,0,0,0,0,310,527,55,0,0,0,0,0,0,0,0,0,HEV
Aspen & Durango,0,0,0,0,0,0,0,0,0,81,42,0,0,0,0,0,0,0,0,0,0,HEV
Silverado & Sierra,0,0,0,0,0,0,0,0,0,0,1598,2393,1165,940,169,30,3,0,1,0,0,HEV
Ford Fusion & Milan,0,0,0,0,0,0,0,0,0,0,17022,22232,11286,14100,37270,35425,24681,33648,57474,54157,49603,HEV
Lexus HS 250h,0,0,0,0,0,0,0,0,0,0,6699,10663,2864,650,5,0,0,0,0,0,0,HEV
Mercedes S400,0,0,0,0,0,0,0,0,0,0,0,955,309,121,64,10,1,0,0,0,0,HEV
Mercedes ML450,0,0,0,0,0,0,0,0,0,0,0,766,1,22,11,20,10,0,0,0,0,HEV
Mercedes E320,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,HEV
Mazda Tribute,0,0,0,0,0,0,0,0,0,0,0,655,484,90,0,0,0,0,0,0,0,HEV
BMW X6 & Activehybrid 3&5&7,0,0,0,0,0,0,0,0,0,0,0,350,381,1040,1456,308,63,64,0,0,0,HEV
Honda CR-z,0,0,0,0,0,0,0,0,0,0,0,5249,11330,4192,4550,3562,3073,2338,705,38,2,HEV
Lincoln MKZ,0,0,0,0,0,0,0,0,0,0,0,1192,5739,6067,7469,10033,8403,7219,5931,4407,5147,HEV
Porsche Cayenne,0,0,0,0,0,0,0,0,0,0,0,206,1571,1180,615,650,0,0,0,0,0,HEV
Lexus CT 200h,0,0,0,0,0,0,0,0,0,0,0,0,14381,17671,15071,17673,14657,8903,4690,4,0,HEV
VW Touareg,0,0,0,0,0,0,0,0,0,0,0,0,390,250,118,30,16,1,0,0,0,HEV
Infinity Q70 (formerly M Hybrid),0,0,0,0,0,0,0,0,0,0,0,0,378,691,475,180,176,118,58,22,0,HEV
Hyundai Sonata,0,0,0,0,0,0,0,0,0,0,0,0,17366,20754,21559,21052,19908,18961,10338,4526,2636,HEV
Buick LaCrosse,0,0,0,0,0,0,0,0,0,0,0,0,1801,12010,7133,7353,4042,765,506,2809,1057,HEV
Buick Regal,0,0,0,0,0,0,0,0,0,0,0,0,123,2564,2893,662,186,45,6,0,0,HEV
Porsche Panamera S,0,0,0,0,0,0,0,0,0,0,0,0,52,570,113,0,0,0,0,0,0,HEV
Kia Optima,0,0,0,0,0,0,0,0,0,0,0,0,0,10245,13919,13776,11492,6142,5589,5924,1054,HEV
Acura ILX,0,0,0,0,0,0,0,0,0,0,0,0,0,972,1461,379,22,1,0,0,0,HEV
Ford C-Max Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,10935,28056,19162,14177,11877,10221,6101,38,HEV
Lexus  ES Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,7027,16562,14837,11241,7645,5394,5250,8608,HEV
Audi Q5 Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,270,854,283,97,18,0,0,0,HEV
Toyota Avalon,0,0,0,0,0,0,0,0,0,0,0,0,0,747,16468,17048,11956,8451,4990,8008,6552,HEV
VW Jetta,0,0,0,0,0,0,0,0,0,0,0,0,0,162,5655,1939,740,709,70,1,0,HEV
Mercedes E400h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,158,53,14,3,0,0,HEV
Infiniti Q50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,3456,4012,1998,870,300,129,HEV
Chevrolet Impala Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,565,272,35,1,0,0,HEV
Infiniti QX60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,1678,2356,1114,298,0,0,HEV
Nissan Pathfinder Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,2480,2245,816,389,0,0,HEV
Subaru XV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7926,5589,2173,45,0,572,HEV
Acura RLX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,250,199,292,690,451,HEV
Lexus NX Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,2573,2842,3323,9062,9649,HEV
Toyota RAV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,45070,50559,48122,92525,HEV
Acura NSX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,581,170,238,HEV
Kia Niro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27237,25743,18336,HEV
Hyundai Ioniq Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10770,13068,15558,HEV
Acura MDX Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,2106,2130,HEV
GMC Sierra Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3643,114,HEV
Lexus LC500h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,37,HEV
Nissan Rogue Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,4205,HEV
Lexus LS 500h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,HEV
Lexus UX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8603,HEV
Toyota Corolla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16299,HEV
Total,17,9350,20282,36042,47566,84233,205876,251864,351071,315763,290273,274648,266501,434648,495535,452172,384400,346949,362868,343219,400746,HEV
Chevy Volt,,,,,,,,,,,,,7671,23461,23094,18805,15393,24739,20349,18306,4915,PEV
